original_commit_type,commit_hash,file_path,classification_label,commit_date,author,is_ai_generated,commit_message
AI,d9c9b2288612a79683650d74c355386a793debd9,rnd/autogpt_server/autogpt_server/util/mock.py,docs,2024-07-09 13:08:42 +0200,Zamil Majdy,True,feat(rnd): Add Agent Block sample/test input output for auto-generated unit testing for block (#7310)
AI,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_server/autogpt_server/util/mock.py,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
AI,d9c9b2288612a79683650d74c355386a793debd9,rnd/autogpt_server/test/block/test_block.py,docs,2024-07-09 13:08:42 +0200,Zamil Majdy,True,feat(rnd): Add Agent Block sample/test input output for auto-generated unit testing for block (#7310)
AI,e70e613f733cb67248f78c55961f566c0add67a7,rnd/autogpt_server/test/block/test_block.py,refactor,2024-07-15 21:41:18 -0500,Zamil Majdy,False,feat(rnd): Refactor Block testing infra and Add Block auto-generation graph usecase (#7405)
AI,ef7cfbb8602385685e375f6a7740af223184683a,rnd/autogpt_server/test/block/test_block.py,refactor,2024-09-20 16:50:43 +0200,Swifty,False,refactor: AutoGPT Platform Stealth Launch Repo Re-Org (#8113)
AI,39c46ef6be4e7772bc2a39e8b5b72066391ec689,autogpts/autogpt/autogpt/core/resource/model_providers/anthropic.py,feat,2024-05-04 20:33:25 +0200,Reinier van der Leer,True,feat(agent/core): Add Anthropic Claude 3 support (#7085)
AI,e8d7dfa386f9e104bdb0b42aaedbf537318544ba,autogpts/autogpt/autogpt/core/resource/model_providers/anthropic.py,refactor,2024-05-16 00:37:53 +0200,Krzysztof Czerwinski,False,"refactor(agent, forge): Move library code from `autogpt` to `forge` (#7106)"
AI,39c46ef6be4e7772bc2a39e8b5b72066391ec689,autogpts/autogpt/autogpt/core/resource/model_providers/multi.py,feat,2024-05-04 20:33:25 +0200,Reinier van der Leer,True,feat(agent/core): Add Anthropic Claude 3 support (#7085)
AI,e8d7dfa386f9e104bdb0b42aaedbf537318544ba,autogpts/autogpt/autogpt/core/resource/model_providers/multi.py,refactor,2024-05-16 00:37:53 +0200,Krzysztof Czerwinski,False,"refactor(agent, forge): Move library code from `autogpt` to `forge` (#7106)"
AI,39c46ef6be4e7772bc2a39e8b5b72066391ec689,autogpts/autogpt/autogpt/core/resource/model_providers/utils.py,feat,2024-05-04 20:33:25 +0200,Reinier van der Leer,True,feat(agent/core): Add Anthropic Claude 3 support (#7085)
