original_commit_type,commit_hash,file_path,classification_label,commit_date,author,is_ai_generated,commit_message
AI,122e0569e297daf245f8c269534cbdecab501ce9,.config/1espt/PipelineAutobaseliningConfig.yml,chore,2025-02-13 17:43:41 +0000,microsoft-github-policy-service[bot],True,Auto-generated baselines by 1ES Pipeline Templates (#238927)
AI,99b551eb83b3043c5180d2e200b1e9cab030d1d7,.config/1espt/PipelineAutobaseliningConfig.yml,chore,2025-06-04 09:38:39 -0700,microsoft-github-policy-service[bot],True,Auto-generated baselines by 1ES Pipeline Templates (#250340)
AI,122e0569e297daf245f8c269534cbdecab501ce9,.config/guardian/.gdnbaselines,chore,2025-02-13 17:43:41 +0000,microsoft-github-policy-service[bot],True,Auto-generated baselines by 1ES Pipeline Templates (#238927)
AI,99b551eb83b3043c5180d2e200b1e9cab030d1d7,.config/guardian/.gdnbaselines,chore,2025-06-04 09:38:39 -0700,microsoft-github-policy-service[bot],True,Auto-generated baselines by 1ES Pipeline Templates (#250340)
AI,7693191f993c5775e79ecc961accf06d1b0d200e,.config/guardian/.gdnbaselines,chore,2025-07-09 16:54:41 +0000,Raymond Zhao,False,chore: remove vsce-sign results from baseline (#254923)
AI,f5ed61a6d609ee5785950706419358a703822f75,src/vs/workbench/contrib/chat/browser/imageUtils.ts,refactor,2025-01-10 21:56:33 +0100,Justin Chen,True,resize images for copilot vision (#237689)
AI,fc9c74300b636edac88ecf4d63bb7bdfab7402ea,src/vs/workbench/contrib/chat/browser/imageUtils.ts,refactor,2025-01-22 17:19:36 -0800,Matt Bierner,False,Skip image resize if we don't need to
AI,23d0bf78c62d1fead056b4817d5c0a4b6f988ee1,src/vs/workbench/contrib/chat/browser/imageUtils.ts,fix,2025-01-23 12:35:39 -0800,Justin Chen,False,add references to `ChatReferenceBinaryData`  (#238516)
AI,786993b77e12091bdce6484d798c2a3685e511c2,src/vs/workbench/contrib/chat/browser/imageUtils.ts,feat,2025-02-21 00:38:57 +0100,Justin Chen,False,drag and drop images from web (#241404)
AI,ac0e2ac21071cb2394accbf96fb7f62acdbc811a,src/vs/workbench/contrib/chat/browser/imageUtils.ts,fix,2025-02-25 00:46:03 +0100,Justin Chen,False,"adds images in history, create file for pasted images in chat (#241664)"
AI,2085fe45b6219dfa893174dd7c71ae6aabcea106,src/vs/workbench/contrib/chat/browser/imageUtils.ts,fix,2025-02-25 17:44:52 -0800,Justin Chen,False,fix hover for url images (#242000)
AI,af4aa0f5ebc1a3066e2a092fa0e3c432a7254e7a,src/vs/workbench/contrib/chat/browser/imageUtils.ts,refactor,2025-04-04 19:50:56 +0200,Justin Chen,False,debt: more image qol and cleanup (#245637)
AI,2f5e8dc5855f9a79a8dcf46884f14137f0c0208e,src/vs/workbench/contrib/chat/browser/imageUtils.ts,refactor,2025-04-25 21:57:24 +0200,Justin Chen,False,make sure images have references (#247428)
AI,639b67695e2d2ef1c465f46383ef7b3a834dbf16,src/vs/workbench/contrib/chat/browser/imageUtils.ts,fix,2025-05-07 16:17:16 -0400,Ron Buckton,False,Add casts to silence breaks due to updated DOM types
AI,6d27f12051323df106a423f5b04e37d36978c256,src/vs/workbench/contrib/chat/browser/imageUtils.ts,fix,2025-07-30 21:07:19 +0000,Justin Chen,False,make sure to resize image to the same mimetype (#258891)
AI,3b8bbd953e9f38d07cf6531264a93600ebc5227a,.github/copilot-instructions.md,docs,2024-11-28 11:54:55 +0100,Christof Marti,True,Add Copilot instructions
AI,7ef3228c7f0d615612c8bb122022d087db03fb26,.github/copilot-instructions.md,docs,2024-12-06 11:25:23 +0100,Johannes Rieken,True,remove API guidelines from copilot instructions (#235475)
AI,ee88620afc77cd8f92a98a95574a88cd74b4b9c7,.github/copilot-instructions.md,chore,2025-07-12 12:40:46 -0700,Benjamin Pasero,True,debt - improve workspace settings and copilot configuration (#255359)
AI,b50ac5ac927c2fb2ee43ba5ab3657de512afbb2c,.github/copilot-instructions.md,docs,2025-07-14 11:45:53 +0000,Benjamin Pasero,False,Explore to support desktop notifications when in agent mode (#251621) (#255643)
AI,ce446a085598d6633f0ee44c728d28d83c3a760b,src/vs/platform/request/test/node/requestService.test.ts,feat,2024-11-27 11:05:26 +0100,Christof Marti,True,Test Kerberos integration (github/copilot#13764)
AI,e30352e170400801c1aad6f8492f2b98ee488b2b,src/vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/inlineEditsViewAndDiffProducer.ts,fix,2024-10-30 09:59:28 -0700,Henning Dieterichs,True,Fixes https://github.com/microsoft/vscode-copilot/issues/9965 (#232629)
AI,0f8e23929fff69f17a47aee6cf73a161d1cc0311,src/vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/inlineEditsViewAndDiffProducer.ts,refactor,2024-11-05 16:55:00 +0100,Henning Dieterichs,False,Implements settings useMixedLinesDiff and useInterleavedLinesDiff (#233102)
AI,78742c48db47a677e03e111f0e8cdfe47a81aed3,src/vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/inlineEditsViewAndDiffProducer.ts,feat,2024-11-15 18:02:25 +0100,Henning Dieterichs,False,Adds shown command to proposed inline edit API (#233916)
AI,822dba4bbc0f9cfb294c8aa0cba1d8eab7e83209,src/vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/inlineEditsViewAndDiffProducer.ts,fix,2024-12-12 13:12:57 +0100,Alexandru Dima,False,Don't try instantiating an `InlineEditWithChanges` when there are no effective changes (#235937)
AI,7c3b79da7f8ca28e61c57d17751f9494b5d6649c,src/vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/inlineEditsViewAndDiffProducer.ts,refactor,2024-12-12 15:01:23 +0000,Henning Dieterichs,False,inline edit view refactoring (#235836)
AI,e169ac792f33c661a1f3a9c8de58ec4ee9ec97df,extensions/typescript-language-features/src/languageFeatures/copilotRelated.ts,chore,2024-10-07 07:24:34 -0700,Nathan Shively-Sanders,True,Move copilot related-files to language features
AI,b8e8e701f5e5696538f1442f77eca1d15201660d,extensions/typescript-language-features/src/languageFeatures/copilotRelated.ts,fix,2024-10-07 07:24:34 -0700,Nathan Shively-Sanders,False,Depend on TS 5.7 not 5.6
AI,50a1fbda476517eca7e17fc814f227a2de9c5bfa,extensions/typescript-language-features/src/languageFeatures/copilotRelated.ts,fix,2024-10-07 07:24:34 -0700,Nathan Shively-Sanders,True,"Register copilotRelated, use selector's languages"
